@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2020/01/12 17:33:48:682',1,296.875,252.864594,1
2,'2020/01/12 17:33:48:692',1,296.875,254.380219,1
3,'2020/01/12 17:33:48:703',1,296.875,256.401031,1
4,'2020/01/12 17:33:48:713',1,296.875,258.927094,1
5,'2020/01/12 17:33:48:724',1,296.875,260.442719,1
6,'2020/01/12 17:33:48:734',1,297.3125,261.958344,1
7,'2020/01/12 17:33:48:744',1,298.1875,261.958344,1
8,'2020/01/12 17:33:48:754',1,298.625,261.453125,1
9,'2020/01/12 17:33:48:764',1,298.625,261.453125,1
10,'2020/01/12 17:33:48:775',1,299.5,261.453125,1
11,'2020/01/12 17:33:48:785',1,301.25,261.958344,1
12,'2020/01/12 17:33:48:795',1,304.75,262.96875,1
13,'2020/01/12 17:33:48:806',1,305.625,263.473969,1
14,'2020/01/12 17:33:48:816',1,306.5,263.473969,1
15,'2020/01/12 17:33:48:826',1,306.5,262.96875,1
16,'2020/01/12 17:33:48:837',1,306.0625,262.463531,1
17,'2020/01/12 17:33:48:847',1,305.625,261.958344,1
18,'2020/01/12 17:33:48:857',1,305.625,261.958344,1
19,'2020/01/12 17:33:48:868',1,305.1875,261.958344,1
20,'2020/01/12 17:33:48:878',1,305.1875,261.958344,1
21,'2020/01/12 17:33:48:888',1,304.75,261.453125,1
22,'2020/01/12 17:33:48:899',1,304.3125,258.927094,1
23,'2020/01/12 17:33:48:909',1,303.4375,257.916656,1
24,'2020/01/12 17:33:48:919',1,302.125,255.390625,1
25,'2020/01/12 17:33:48:930',1,300.375,253.875,1
26,'2020/01/12 17:33:48:940',1,298.1875,252.864594,1
27,'2020/01/12 17:33:48:951',1,295.125,252.359375,1
28,'2020/01/12 17:33:48:961',1,291.625,251.854156,1
29,'2020/01/12 17:33:48:971',1,288.125,251.348969,1
30,'2020/01/12 17:33:48:982',1,284.625,250.338531,1
31,'2020/01/12 17:33:48:992',1,523.9375,249.833344,1
32,'2020/01/12 17:33:49:003',1,277.625,248.317719,1
33,'2020/01/12 17:33:49:013',1,275,246.802094,1
34,'2020/01/12 17:33:49:023',1,273.25,246.296875,1
35,'2020/01/12 17:33:49:034',1,271.5,245.286469,1
36,'2020/01/12 17:33:49:044',1,268.4375,244.276031,1
37,'2020/01/12 17:33:49:054',1,268.4375,244.276031,1
38,'2020/01/12 17:33:49:065',1,266.6875,245.286469,1
39,'2020/01/12 17:33:49:075',1,264.0625,246.296875,1
40,'2020/01/12 17:33:49:086',1,262.3125,247.307281,1
41,'2020/01/12 17:33:49:097',1,259.25,248.822906,1
42,'2020/01/12 17:33:49:107',1,253.125,253.369781,1
43,'2020/01/12 17:33:49:117',1,250.5,255.895844,1
44,'2020/01/12 17:33:49:128',1,248.3125,258.927094,1
45,'2020/01/12 17:33:49:138',1,246.5625,260.947906,1
46,'2020/01/12 17:33:49:149',1,245.25,262.96875,1
47,'2020/01/12 17:33:49:159',1,244.375,264.989594,1
48,'2020/01/12 17:33:49:170',1,243.9375,267.515625,1
49,'2020/01/12 17:33:49:180',1,242.625,271.052063,1
50,'2020/01/12 17:33:49:191',1,241.75,274.588562,1
51,'2020/01/12 17:33:49:201',1,241.3125,278.630188,1
52,'2020/01/12 17:33:49:211',1,240.875,283.177063,1
53,'2020/01/12 17:33:49:221',1,240.4375,286.713562,1
54,'2020/01/12 17:33:49:232',1,240.875,290.25,1
55,'2020/01/12 17:33:49:242',1,241.3125,293.786438,1
56,'2020/01/12 17:33:49:253',1,243.0625,296.817688,1
57,'2020/01/12 17:33:49:263',1,246.125,298.838562,1
58,'2020/01/12 17:33:49:274',1,249.1875,300.354187,1
59,'2020/01/12 17:33:49:284',1,253.125,302.375,1
60,'2020/01/12 17:33:49:295',1,257.0625,304.395813,1
61,'2020/01/12 17:33:49:305',1,261.875,306.921875,1
62,'2020/01/12 17:33:49:315',1,265.375,309.447937,1
63,'2020/01/12 17:33:49:326',1,270.625,311.973938,1
64,'2020/01/12 17:33:49:336',1,274.125,313.489563,1
65,'2020/01/12 17:33:49:347',1,278.0625,313.994812,1
66,'2020/01/12 17:33:49:357',1,282.4375,315.005188,1
67,'2020/01/12 17:33:49:368',1,291.625,316.520813,1
68,'2020/01/12 17:33:49:378',1,291.625,316.520813,1
69,'2020/01/12 17:33:49:388',1,296.4375,316.520813,1
70,'2020/01/12 17:33:49:399',1,301.25,316.015625,1
71,'2020/01/12 17:33:49:409',1,308.6875,312.479187,1
72,'2020/01/12 17:33:49:419',1,311.3125,309.447937,1
73,'2020/01/12 17:33:49:430',1,311.3125,309.447937,1
74,'2020/01/12 17:33:49:440',1,313.9375,305.911438,1
75,'2020/01/12 17:33:49:450',1,315.6875,301.869812,1
76,'2020/01/12 17:33:49:461',1,319.625,292.776062,1
77,'2020/01/12 17:33:49:471',1,321.8125,288.734375,1
78,'2020/01/12 17:33:49:482',1,323.125,284.1875,1
79,'2020/01/12 17:33:49:492',1,324.875,280.145813,1
80,'2020/01/12 17:33:49:502',1,326.1875,276.609375,1
81,'2020/01/12 17:33:49:513',1,327.0625,273.072937,1
82,'2020/01/12 17:33:49:523',1,328.375,269.536438,1
83,'2020/01/12 17:33:49:534',1,328.375,266.505188,1
84,'2020/01/12 17:33:49:544',1,327.9375,262.96875,1
85,'2020/01/12 17:33:49:554',1,327.9375,262.96875,1
86,'2020/01/12 17:33:49:565',1,327.0625,259.432281,1
87,'2020/01/12 17:33:49:575',1,326.1875,255.895844,1
88,'2020/01/12 17:33:49:585',1,323.5625,250.338531,1
89,'2020/01/12 17:33:49:596',1,322.6875,247.307281,1
90,'2020/01/12 17:33:49:606',1,320.9375,244.78125,1
91,'2020/01/12 17:33:49:617',1,319.1875,242.255219,1
92,'2020/01/12 17:33:49:627',1,317.4375,239.729156,1
93,'2020/01/12 17:33:49:637',1,314.8125,238.213531,1
94,'2020/01/12 17:33:49:647',1,312.1875,236.192719,1
95,'2020/01/12 17:33:49:658',1,308.6875,234.677094,1
96,'2020/01/12 17:33:49:669',1,524.375,233.161469,1
97,'2020/01/12 17:33:49:679',1,302.5625,232.151031,1
98,'2020/01/12 17:33:49:690',1,298.1875,230.635406,1
99,'2020/01/12 17:33:49:700',1,296.4375,229.625,1
100,'2020/01/12 17:33:49:879',1,293.8125,228.109375,1
101,'2020/01/12 17:33:49:880',1,291.1875,227.098969,1
102,'2020/01/12 17:33:49:880',1,288.5625,226.59375,1
103,'2020/01/12 17:33:49:880',1,286.375,226.088531,1
104,'2020/01/12 17:33:49:880',1,283.75,225.583344,1
105,'2020/01/12 17:33:49:880',1,280.6875,225.583344,1
106,'2020/01/12 17:33:49:880',1,277.625,225.583344,1
107,'2020/01/12 17:33:49:880',1,275,226.59375,1
108,'2020/01/12 17:33:49:880',1,272.375,227.604156,1
109,'2020/01/12 17:33:49:880',1,269.75,228.614594,1
110,'2020/01/12 17:33:49:880',1,266.25,230.635406,1
111,'2020/01/12 17:33:49:880',1,263.625,232.151031,1
112,'2020/01/12 17:33:49:880',1,260.5625,234.171875,1
113,'2020/01/12 17:33:49:880',1,258.375,236.192719,1
114,'2020/01/12 17:33:49:880',1,255.3125,238.213531,1
115,'2020/01/12 17:33:49:880',1,252.25,239.729156,1
116,'2020/01/12 17:33:49:880',1,249.1875,241.75,1
117,'2020/01/12 17:33:49:885',1,246.125,243.770844,1
118,'2020/01/12 17:33:49:896',1,243.5,245.791656,1
119,'2020/01/12 17:33:49:906',1,240.875,248.317719,1
120,'2020/01/12 17:33:49:916',1,237.8125,251.348969,1
121,'2020/01/12 17:33:49:927',1,235.625,254.380219,1
122,'2020/01/12 17:33:49:937',1,234.3125,257.411469,1
123,'2020/01/12 17:33:49:948',1,233,260.442719,1
124,'2020/01/12 17:33:49:958',1,232.5625,263.979156,1
125,'2020/01/12 17:33:49:969',1,232.125,268.020813,1
126,'2020/01/12 17:33:49:979',1,231.6875,271.557312,1
127,'2020/01/12 17:33:49:990',1,232.5625,275.598938,1
128,'2020/01/12 17:33:50:000',1,233.875,279.640625,1
129,'2020/01/12 17:33:50:011',1,234.75,283.177063,1
130,'2020/01/12 17:33:50:021',1,236.5,286.208313,1
131,'2020/01/12 17:33:50:032',1,238.25,289.744812,1
132,'2020/01/12 17:33:50:042',1,240,292.776062,1
133,'2020/01/12 17:33:50:052',1,242.1875,295.807312,1
134,'2020/01/12 17:33:50:063',1,247.4375,301.869812,1
135,'2020/01/12 17:33:50:073',1,250.0625,304.395813,1
136,'2020/01/12 17:33:50:083',1,250.0625,304.395813,1
137,'2020/01/12 17:33:50:094',1,253.125,306.416687,1
138,'2020/01/12 17:33:50:104',1,255.75,308.4375,1
139,'2020/01/12 17:33:50:115',1,259.25,309.447937,1
140,'2020/01/12 17:33:50:125',1,268,310.963562,1
141,'2020/01/12 17:33:50:135',1,272.8125,310.963562,1
142,'2020/01/12 17:33:50:146',1,277.1875,310.458313,1
143,'2020/01/12 17:33:50:156',1,282,309.447937,1
144,'2020/01/12 17:33:50:166',1,286.375,307.932312,1
145,'2020/01/12 17:33:50:177',1,290.3125,305.911438,1
146,'2020/01/12 17:33:50:187',1,293.8125,304.395813,1
147,'2020/01/12 17:33:50:198',1,298.1875,300.859375,1
148,'2020/01/12 17:33:50:208',1,300.8125,297.828125,1
