@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2020/01/11 13:40:24:223',1,191,270.546875,1
2,'2020/01/11 13:40:24:233',1,193.1875,272.0625,1
3,'2020/01/11 13:40:24:244',1,194.5,272.567688,1
4,'2020/01/11 13:40:24:255',1,195.8125,273.072937,1
5,'2020/01/11 13:40:24:265',1,197.125,273.072937,1
6,'2020/01/11 13:40:24:275',1,198,273.072937,1
7,'2020/01/11 13:40:24:286',1,198.4375,272.567688,1
8,'2020/01/11 13:40:24:296',1,198.875,272.567688,1
9,'2020/01/11 13:40:24:306',1,198.4375,272.0625,1
10,'2020/01/11 13:40:24:317',1,198.4375,272.0625,1
11,'2020/01/11 13:40:24:327',1,198.4375,272.0625,1
12,'2020/01/11 13:40:24:337',1,198.4375,272.567688,1
13,'2020/01/11 13:40:24:347',1,199.75,273.072937,1
14,'2020/01/11 13:40:24:358',1,200.625,273.578125,1
15,'2020/01/11 13:40:24:368',1,201.0625,274.083313,1
16,'2020/01/11 13:40:24:378',1,201.5,274.588562,1
17,'2020/01/11 13:40:24:389',1,202.375,274.083313,1
18,'2020/01/11 13:40:24:399',1,202.375,274.083313,1
19,'2020/01/11 13:40:24:409',1,201.9375,273.578125,1
20,'2020/01/11 13:40:24:420',1,201.5,273.578125,1
21,'2020/01/11 13:40:24:430',1,201.0625,273.578125,1
22,'2020/01/11 13:40:24:440',1,199.75,274.083313,1
23,'2020/01/11 13:40:24:451',1,523.5,274.083313,1
24,'2020/01/11 13:40:24:461',1,197.5625,274.588562,1
25,'2020/01/11 13:40:24:472',1,198,274.588562,1
26,'2020/01/11 13:40:24:482',1,325.3125,275.09375,1
27,'2020/01/11 13:40:24:492',1,325.75,274.588562,1
28,'2020/01/11 13:40:24:502',1,199.3125,274.083313,1
29,'2020/01/11 13:40:24:513',1,200.1875,274.083313,1
30,'2020/01/11 13:40:24:523',1,201.0625,273.578125,1
31,'2020/01/11 13:40:24:533',1,201.5,273.578125,1
32,'2020/01/11 13:40:24:544',1,201.9375,273.072937,1
33,'2020/01/11 13:40:24:554',1,202.375,272.567688,1
34,'2020/01/11 13:40:24:565',1,202.375,272.567688,1
35,'2020/01/11 13:40:24:575',1,201.9375,272.567688,1
36,'2020/01/11 13:40:24:585',1,201.9375,272.567688,1
37,'2020/01/11 13:40:24:595',1,201.9375,272.567688,1
38,'2020/01/11 13:40:24:606',1,202.375,272.0625,1
39,'2020/01/11 13:40:24:616',1,202.375,272.0625,1
40,'2020/01/11 13:40:24:626',1,203.6875,272.0625,1
41,'2020/01/11 13:40:24:636',1,205,272.0625,1
42,'2020/01/11 13:40:24:646',1,205,272.0625,1
43,'2020/01/11 13:40:24:657',1,205.4375,272.567688,1
