@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
14950,'2020/01/11 01:54:51:373',7,337.5625,177.588531,1
14951,'2020/01/11 01:54:51:383',7,337.125,177.083344,1
14952,'2020/01/11 01:54:51:394',7,337.125,176.578125,1
14953,'2020/01/11 01:54:51:404',7,338.4375,177.083344,1
14954,'2020/01/11 01:54:51:415',7,339.75,177.083344,1
14955,'2020/01/11 01:54:51:425',7,340.1875,177.588531,1
14956,'2020/01/11 01:54:51:436',7,340.625,178.598969,1
14957,'2020/01/11 01:54:51:446',7,341.0625,178.598969,1
14958,'2020/01/11 01:54:51:457',7,340.1875,178.598969,1
14959,'2020/01/11 01:54:51:467',7,339.75,178.09375,1
14960,'2020/01/11 01:54:51:478',7,339.3125,177.588531,1
14961,'2020/01/11 01:54:51:488',7,339.3125,177.083344,1
14962,'2020/01/11 01:54:51:498',7,339.75,177.083344,1
14963,'2020/01/11 01:54:51:509',7,340.1875,177.588531,1
14964,'2020/01/11 01:54:51:519',7,343.25,180.114594,1
14965,'2020/01/11 01:54:51:529',7,343.25,180.114594,1
14966,'2020/01/11 01:54:51:540',7,344.125,180.619781,1
14967,'2020/01/11 01:54:51:550',7,345.4375,182.135406,1
14968,'2020/01/11 01:54:51:561',7,345.4375,182.640625,1
14969,'2020/01/11 01:54:51:571',7,345,183.145844,1
14970,'2020/01/11 01:54:51:582',7,343.6875,184.661469,1
14971,'2020/01/11 01:54:51:593',7,343.25,184.661469,1
14972,'2020/01/11 01:54:51:603',7,343.25,185.166656,1
14973,'2020/01/11 01:54:51:613',7,344.125,185.671875,1
14974,'2020/01/11 01:54:51:623',7,345.875,186.177094,1
14975,'2020/01/11 01:54:51:634',7,347.625,186.682281,1
14976,'2020/01/11 01:54:51:644',7,349.375,187.1875,1
